"状态","源文件","汉化文件","已翻译行数","校对进度/备注"
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\english\simp_chinese\BA_Anomaly&Arc_site_l_english.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\french\simp_chinese\BA_Anomaly&Arc_site_l_french.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\german\simp_chinese\BA_Anomaly&Arc_site_l_german.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_Anomaly&Arc_site_l_spanish.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_Anomaly&Arc_site_l_japanese.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_Anomaly&Arc_site_l_korean.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_Anomaly&Arc_site_l_polish.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Anomaly&Arc_site_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_Anomaly&Arc_site_l_braz_por.yml","13",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\english\simp_chinese\BA_Club_l_english.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\french\simp_chinese\BA_Club_l_french.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\german\simp_chinese\BA_Club_l_german.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_Club_l_spanish.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_Club_l_japanese.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_Club_l_korean.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_Club_l_polish.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Club_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_Club_l_braz_por.yml","494",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\english\simp_chinese\BA_Namelist_l_english.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\french\simp_chinese\BA_Namelist_l_french.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\german\simp_chinese\BA_Namelist_l_german.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_Namelist_l_spanish.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_Namelist_l_japanese.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_Namelist_l_korean.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_Namelist_l_polish.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Namelist_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_Namelist_l_braz_por.yml","124",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\english\simp_chinese\BA_Placeholder_l_english.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\french\simp_chinese\BA_Placeholder_l_french.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\german\simp_chinese\BA_Placeholder_l_german.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_Placeholder_l_spanish.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_Placeholder_l_japanese.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_Placeholder_l_korean.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_Placeholder_l_polish.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Placeholder_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_Placeholder_l_braz_por.yml","153",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\english\simp_chinese\BA_Precursor_l_english.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\french\simp_chinese\BA_Precursor_l_french.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\german\simp_chinese\BA_Precursor_l_german.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_Precursor_l_spanish.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_Precursor_l_japanese.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_Precursor_l_korean.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_Precursor_l_polish.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Precursor_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_Precursor_l_braz_por.yml","83",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\english\simp_chinese\BA_Project_l_english.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\french\simp_chinese\BA_Project_l_french.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\german\simp_chinese\BA_Project_l_german.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_Project_l_spanish.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_Project_l_japanese.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_Project_l_korean.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_Project_l_polish.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Project_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_Project_l_braz_por.yml","213",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\english\simp_chinese\BA_School_Idea_l_english.yml","415",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\french\simp_chinese\BA_School_Idea_l_french.yml","415",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\german\simp_chinese\BA_School_Idea_l_german.yml","415",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_School_Idea_l_spanish.yml","415",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_School_Idea_l_japanese.yml","415",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_School_Idea_l_korean.yml","415",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_School_Idea_l_polish.yml","415",""
